192.0.99.11 - - [11/Oct/2015:17:07:57 -0700] "GET /images/care2.jpg HTTP/1.1" 404 89 "-" "Photon/1.0" "www.superior-dentistry.com"
54.187.127.196 - - [11/Oct/2015:17:14:10 -0700] "GET /blog.php HTTP/1.1" 200 99736 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.127.196 - - [11/Oct/2015:17:14:11 -0700] "GET /contact-us.html HTTP/1.1" 200 23726 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.127.196 - - [11/Oct/2015:17:14:15 -0700] "GET /contact-us.php HTTP/1.1" 200 73 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.127.196 - - [11/Oct/2015:17:14:17 -0700] "GET /firstvisit.php HTTP/1.1" 200 73 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.127.196 - - [11/Oct/2015:17:14:18 -0700] "GET /testimonials.html HTTP/1.1" 200 24783 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.127.196 - - [11/Oct/2015:17:14:21 -0700] "GET /services.php HTTP/1.1" 200 73 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.127.196 - - [11/Oct/2015:17:14:26 -0700] "GET /index.php HTTP/1.1" 200 73 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.127.196 - - [11/Oct/2015:17:14:28 -0700] "GET /Dental-Links.html HTTP/1.1" 200 27636 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.127.196 - - [11/Oct/2015:17:14:31 -0700] "GET /dental-implants.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.127.196 - - [11/Oct/2015:17:14:39 -0700] "GET /tmj-disorder.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.127.196 - - [11/Oct/2015:17:14:40 -0700] "GET /treatment.php HTTP/1.1" 200 21262 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.127.196 - - [11/Oct/2015:17:14:43 -0700] "GET /patient.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.127.196 - - [11/Oct/2015:17:14:46 -0700] "GET /Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html HTTP/1.1" 200 32565 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.127.196 - - [11/Oct/2015:17:14:48 -0700] "GET /Dentist.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.127.196 - - [11/Oct/2015:17:14:50 -0700] "GET /Dentist-Bowie-MD/Periodontal-Services-Maryland-MD.html HTTP/1.1" 200 19779 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.225.17.70 - - [11/Oct/2015:18:38:50 -0700] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36" "www.superior-dentistry.com"
208.122.6.102 - - [11/Oct/2015:18:42:52 -0700] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
192.92.196.135 - - [11/Oct/2015:19:15:46 -0700] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0;  Trident/5.0)" "www.superior-dentistry.com"
192.92.196.14 - - [11/Oct/2015:19:15:47 -0700] "GET /theme.css HTTP/1.1" 200 1926 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0;  Trident/5.0)" "www.superior-dentistry.com"
192.92.196.47 - - [11/Oct/2015:19:15:48 -0700] "GET /js/ie-emulation-modes-warning.js HTTP/1.1" 200 2132 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0;  Trident/5.0)" "www.superior-dentistry.com"
192.92.196.11 - - [11/Oct/2015:19:15:49 -0700] "GET /js/docs.min.js HTTP/1.1" 200 43299 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0;  Trident/5.0)" "www.superior-dentistry.com"
192.92.196.228 - - [11/Oct/2015:19:15:50 -0700] "GET /assets/flash/ZeroClipboard.swf?noCache=1444616149993 HTTP/1.1" 404 89 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0;  Trident/5.0)" "www.superior-dentistry.com"
180.76.15.24 - - [11/Oct/2015:19:18:47 -0700] "GET /css/bootstrap-theme.css HTTP/1.1" 200 19156 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "superior-dentistry.com"
208.122.6.102 - - [11/Oct/2015:19:43:05 -0700] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
65.36.241.48 - - [11/Oct/2015:19:45:13 -0700] "HEAD / HTTP/1.1" 200 0 "-" "InternetSeer.com" "www.superior-dentistry.com"
66.249.69.76 - - [11/Oct/2015:20:46:40 -0700] "GET /images/periodontalsurgery.jpg HTTP/1.1" 404 89 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.69.92 - - [11/Oct/2015:20:46:41 -0700] "GET /images/care1.jpg HTTP/1.1" 404 89 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
70.210.6.43 - - [11/Oct/2015:21:23:15 -0700] "GET /Bowie-Dentists/images/care4.jpg HTTP/1.1" 200 357042 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) GSA/9.0.60246 Mobile/12H321 Safari/600.1.4" "www.superior-dentistry.com"
36.99.31.9 - - [11/Oct/2015:21:29:25 -0700] "GET / HTTP/1.1" 200 38156 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; U; Android 4.0.2; en-us; Galaxy Nexus Build/ICL53F) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "www.superior-dentistry.com"
46.118.115.132 - - [11/Oct/2015:21:35:53 -0700] "GET /Dentist-Bowie-MD/ HTTP/1.1" 200 1706 "http://www.tecspb.ru/" "Mozilla/3.0 (compatible; WebCapture 2.0; Auto; Windows)" "www.superior-dentistry.com"
46.118.115.132 - - [11/Oct/2015:21:35:53 -0700] "GET /Dentist-Bowie-MD/ HTTP/1.1" 200 1706 "http://cinemaenergy-hd.ru/" "Mozilla/3.0 (compatible; WebCapture 2.0; Auto; Windows)" "www.superior-dentistry.com"
46.118.115.132 - - [11/Oct/2015:21:35:54 -0700] "GET /Dentist-Bowie-MD/ HTTP/1.1" 200 1706 "http://cinemaenergy-hd.ru/" "Mozilla/3.0 (compatible; WebCapture 2.0; Auto; Windows)" "www.superior-dentistry.com"
46.118.115.132 - - [11/Oct/2015:21:35:54 -0700] "GET /Dentist-Bowie-MD/ HTTP/1.1" 200 1706 "http://www.tecspb.ru/" "Mozilla/3.0 (compatible; WebCapture 2.0; Auto; Windows)" "www.superior-dentistry.com"
46.118.115.132 - - [11/Oct/2015:21:35:54 -0700] "GET /Dentist-Bowie-MD/ HTTP/1.1" 200 1706 "http://cinemaenergy-hd.ru/" "Mozilla/3.0 (compatible; WebCapture 2.0; Auto; Windows)" "www.superior-dentistry.com"
46.118.115.132 - - [11/Oct/2015:21:35:54 -0700] "GET /Dentist-Bowie-MD/ HTTP/1.1" 200 1706 "http://www.tecspb.ru/" "Mozilla/3.0 (compatible; WebCapture 2.0; Auto; Windows)" "www.superior-dentistry.com"
66.249.69.92 - - [11/Oct/2015:21:38:40 -0700] "GET /index.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.superior-dentistry.com"
151.80.44.115 - - [11/Oct/2015:21:40:40 -0700] "GET /Dental-LinkExchange.html HTTP/1.1" 200 25575 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "superior-dentistry.com"
151.80.44.115 - - [11/Oct/2015:21:40:43 -0700] "GET /Bowie-Dentists/Periodontal-Therapy-Maryland.html HTTP/1.1" 200 40166 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
151.80.44.115 - - [11/Oct/2015:21:40:45 -0700] "GET /Bowie-Dentists/Preventive-Dentistry-Maryland.html HTTP/1.1" 200 39411 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
