52.20.192.155 - - [18/Oct/2015:17:32:08 -0700] "GET /blog.php HTTP/1.1" 200 99736 "-" "Pinterest/0.2 (+http://www.pinterest.com/)" "www.superior-dentistry.com"
216.121.217.4 - - [18/Oct/2015:17:32:08 -0700] "GET /blog.php HTTP/1.1" 200 99736 "http://pinterest.com/pin/543528248751951105/" "Mozilla/5.0 (iPhone; CPU iPhone OS 8_0_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12A405 [Pinterest/iOS]" "www.superior-dentistry.com"
216.121.217.4 - - [18/Oct/2015:17:32:09 -0700] "GET /js/ie-emulation-modes-warning.js HTTP/1.1" 200 2132 "http://www.superior-dentistry.com/blog.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 8_0_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12A405 [Pinterest/iOS]" "www.superior-dentistry.com"
216.121.217.4 - - [18/Oct/2015:17:32:09 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 138415 "http://www.superior-dentistry.com/blog.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 8_0_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12A405 [Pinterest/iOS]" "www.superior-dentistry.com"
216.121.217.4 - - [18/Oct/2015:17:32:09 -0700] "GET /theme.css HTTP/1.1" 200 1926 "http://www.superior-dentistry.com/blog.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 8_0_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12A405 [Pinterest/iOS]" "www.superior-dentistry.com"
216.121.217.4 - - [18/Oct/2015:17:32:09 -0700] "GET /js/bootstrap.min.js HTTP/1.1" 200 35601 "http://www.superior-dentistry.com/blog.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 8_0_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12A405 [Pinterest/iOS]" "www.superior-dentistry.com"
216.121.217.4 - - [18/Oct/2015:17:32:09 -0700] "GET /js/docs.min.js HTTP/1.1" 200 43299 "http://www.superior-dentistry.com/blog.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 8_0_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12A405 [Pinterest/iOS]" "www.superior-dentistry.com"
216.121.217.4 - - [18/Oct/2015:17:32:09 -0700] "GET /img/contact-img.jpg HTTP/1.1" 200 83148 "http://www.superior-dentistry.com/blog.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 8_0_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12A405 [Pinterest/iOS]" "www.superior-dentistry.com"
216.121.217.4 - - [18/Oct/2015:17:32:15 -0700] "GET /images/popup-offer.png HTTP/1.1" 404 89 "http://www.superior-dentistry.com/blog.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 8_0_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12A405 [Pinterest/iOS]" "www.superior-dentistry.com"
46.160.76.177 - - [18/Oct/2015:17:47:11 -0700] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (Windows NT 6.1; rv:10.0.1) Gecko/20100101 Firefox/10.0.1" "superior-dentistry.com"
46.160.76.177 - - [18/Oct/2015:17:47:11 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (Windows NT 6.1; rv:10.0.1) Gecko/20100101 Firefox/10.0.1" "superior-dentistry.com"
208.122.6.102 - - [18/Oct/2015:17:47:32 -0700] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
