46.246.48.116 - - [26/Oct/2015:17:07:57 -0700] "GET / HTTP/1.1" 200 38156 "http://www.superior-dentistry.com/" "Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.17" "www.superior-dentistry.com"
157.55.39.75 - - [26/Oct/2015:17:14:09 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
66.249.69.93 - - [26/Oct/2015:17:16:08 -0700] "GET /assets/flash/ZeroClipboard.swf?noCache=1445817600033&trustedOrigins=www.superior-dentistry.com%2C%2F%2Fwww.superior-dentistry.com%2Chttp%3A%2F%2Fwww.superior-dentistry.com HTTP/1.1" 404 89 "-" "Googlebot-Video/1.0" "www.superior-dentistry.com"
180.76.15.32 - - [26/Oct/2015:17:59:59 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2" "superior-dentistry.com"
157.55.39.196 - - [26/Oct/2015:18:11:00 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
157.55.39.196 - - [26/Oct/2015:18:14:30 -0700] "GET /Patient-Before-After-Gallery.html HTTP/1.1" 200 23787 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
208.122.6.102 - - [26/Oct/2015:18:30:06 -0700] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
180.76.15.156 - - [26/Oct/2015:19:13:17 -0700] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "superior-dentistry.com"
180.76.15.145 - - [26/Oct/2015:19:14:35 -0700] "GET /contact-us.html HTTP/1.1" 200 23726 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.superior-dentistry.com"
108.48.192.229 - - [26/Oct/2015:19:22:51 -0700] "GET / HTTP/1.1" 200 38156 "https://www.google.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/601.1.56" "www.superior-dentistry.com"
108.48.192.229 - - [26/Oct/2015:19:22:52 -0700] "GET /js/docs.min.js HTTP/1.1" 200 43299 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/601.1.56" "www.superior-dentistry.com"
108.48.192.229 - - [26/Oct/2015:19:22:52 -0700] "GET /js/ie10-viewport-bug-workaround.js HTTP/1.1" 200 694 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/601.1.56" "www.superior-dentistry.com"
108.48.192.229 - - [26/Oct/2015:19:22:52 -0700] "GET /img/meetdr-melika.jpg HTTP/1.1" 200 75968 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/601.1.56" "www.superior-dentistry.com"
108.48.192.229 - - [26/Oct/2015:19:22:52 -0700] "GET /img/patients-choice-winner-2015.png HTTP/1.1" 200 9818 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/601.1.56" "www.superior-dentistry.com"
108.48.192.229 - - [26/Oct/2015:19:22:52 -0700] "GET /img/offer-31-05-2014-sonicare-brush.jpg HTTP/1.1" 200 13165 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/601.1.56" "www.superior-dentistry.com"
108.48.192.229 - - [26/Oct/2015:19:22:52 -0700] "GET /assets/flash/ZeroClipboard.swf?noCache=1445912572510 HTTP/1.1" 404 89 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/601.1.56" "www.superior-dentistry.com"
108.48.192.229 - - [26/Oct/2015:19:23:35 -0700] "GET /index.html HTTP/1.1" 200 38156 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/601.1.56" "www.superior-dentistry.com"
108.48.192.229 - - [26/Oct/2015:19:23:35 -0700] "GET /assets/flash/ZeroClipboard.swf?noCache=1445912615719 HTTP/1.1" 404 89 "http://www.superior-dentistry.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/601.1.56" "www.superior-dentistry.com"
108.48.192.229 - - [26/Oct/2015:19:23:46 -0700] "GET /meet-staff.html HTTP/1.1" 200 22166 "http://www.superior-dentistry.com/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/601.1.56" "www.superior-dentistry.com"
108.48.192.229 - - [26/Oct/2015:19:23:46 -0700] "GET /img/doctor-achievement.jpg HTTP/1.1" 200 200838 "http://www.superior-dentistry.com/meet-staff.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/601.1.56" "www.superior-dentistry.com"
108.48.192.229 - - [26/Oct/2015:19:23:46 -0700] "GET /img/Dr-Ali-shatergholi.jpg HTTP/1.1" 200 17298 "http://www.superior-dentistry.com/meet-staff.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/601.1.56" "www.superior-dentistry.com"
108.48.192.229 - - [26/Oct/2015:19:23:46 -0700] "GET /img/Dr-Melika.jpg HTTP/1.1" 200 28557 "http://www.superior-dentistry.com/meet-staff.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/601.1.56" "www.superior-dentistry.com"
108.48.192.229 - - [26/Oct/2015:19:23:46 -0700] "GET /assets/flash/ZeroClipboard.swf?noCache=1445912626158 HTTP/1.1" 404 89 "http://www.superior-dentistry.com/meet-staff.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/601.1.56" "www.superior-dentistry.com"
199.16.156.126 - - [26/Oct/2015:19:23:46 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.124 - - [26/Oct/2015:19:23:46 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.126 - - [26/Oct/2015:19:23:46 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
