66.119.41.34 - - [30/Oct/2015:17:34:13 -0700] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2) Gecko/20100115 Firefox/3.6" "superior-dentistry.com"
180.76.15.15 - - [30/Oct/2015:19:03:52 -0700] "GET /css/bootstrap-theme.css HTTP/1.1" 200 19156 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.superior-dentistry.com"
66.249.69.84 - - [30/Oct/2015:19:31:04 -0700] "GET /Bowie-Dentists/images/care5.jpg HTTP/1.1" 200 330601 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.69.77 - - [30/Oct/2015:19:43:54 -0700] "GET /img/oral-pathology.jpg HTTP/1.1" 200 33395 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
180.76.15.135 - - [30/Oct/2015:19:46:40 -0700] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.superior-dentistry.com"
66.249.69.93 - - [30/Oct/2015:19:47:19 -0700] "GET /img/jaw-surgery.jpg HTTP/1.1" 200 27058 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.75.109 - - [30/Oct/2015:19:52:39 -0700] "GET /images/off4.jpg HTTP/1.1" 404 89 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.75.93 - - [30/Oct/2015:19:52:39 -0700] "GET /images/dental-crown.jpg HTTP/1.1" 404 89 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.75.109 - - [30/Oct/2015:19:52:39 -0700] "GET /images/dental-extractions.jpg HTTP/1.1" 404 89 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.75.109 - - [30/Oct/2015:19:52:39 -0700] "GET /images/porcelain-veneers.jpg HTTP/1.1" 404 89 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.75.101 - - [30/Oct/2015:19:52:47 -0700] "GET /images/care4.jpg HTTP/1.1" 404 89 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.75.109 - - [30/Oct/2015:19:53:25 -0700] "GET /images/invisalign.jpg HTTP/1.1" 404 89 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.75.109 - - [30/Oct/2015:19:53:25 -0700] "GET /images/implant-before-and-after.jpg HTTP/1.1" 404 89 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.75.109 - - [30/Oct/2015:19:53:25 -0700] "GET /images/off3.jpg HTTP/1.1" 404 89 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.75.109 - - [30/Oct/2015:19:53:25 -0700] "GET /images/Teeth-Whitening1.jpg HTTP/1.1" 404 89 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
199.59.148.211 - - [30/Oct/2015:19:53:43 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.59.148.209 - - [30/Oct/2015:19:53:43 -0700] "GET /Bowie-Dentists/Periodontal-Therapy-Maryland.html HTTP/1.1" 200 40166 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.59.148.211 - - [30/Oct/2015:19:53:43 -0700] "GET / HTTP/1.1" 200 38156 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.59.148.210 - - [30/Oct/2015:19:53:44 -0700] "GET /Bowie-Dentists/Periodontal-Therapy-Maryland.html HTTP/1.1" 200 40166 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.59.148.209 - - [30/Oct/2015:19:53:44 -0700] "GET /Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD HTTP/1.1" 200 32565 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.59.148.210 - - [30/Oct/2015:19:53:44 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.59.148.210 - - [30/Oct/2015:19:53:44 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.59.148.210 - - [30/Oct/2015:19:53:44 -0700] "GET /Bowie-Dentists/Preventive-Dentistry-Maryland.html HTTP/1.1" 200 39411 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.59.148.209 - - [30/Oct/2015:19:53:44 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.59.148.209 - - [30/Oct/2015:19:53:44 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.59.148.210 - - [30/Oct/2015:19:53:44 -0700] "GET /Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html HTTP/1.1" 200 32565 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.59.148.209 - - [30/Oct/2015:19:53:44 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.59.148.209 - - [30/Oct/2015:19:53:44 -0700] "GET / HTTP/1.1" 200 38156 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.59.148.209 - - [30/Oct/2015:19:53:44 -0700] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
66.249.75.107 - - [30/Oct/2015:19:54:07 -0700] "GET /images/care2.jpg HTTP/1.1" 404 89 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.75.93 - - [30/Oct/2015:19:56:12 -0700] "GET /images/off2.jpg HTTP/1.1" 404 89 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.75.93 - - [30/Oct/2015:19:56:13 -0700] "GET /images/care5.jpg HTTP/1.1" 404 89 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.75.109 - - [30/Oct/2015:19:56:13 -0700] "GET /images/night-guard.jpg HTTP/1.1" 404 89 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.75.93 - - [30/Oct/2015:19:56:13 -0700] "GET /images/periodontalsurgery.jpg HTTP/1.1" 404 89 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.75.101 - - [30/Oct/2015:19:56:14 -0700] "GET /images/care1.jpg HTTP/1.1" 404 89 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.75.101 - - [30/Oct/2015:19:57:44 -0700] "GET /images/dentures.jpg HTTP/1.1" 404 89 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.75.109 - - [30/Oct/2015:20:08:04 -0700] "GET /Bowie-Dentists/images/care2.jpg HTTP/1.1" 200 401250 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.75.109 - - [30/Oct/2015:20:08:13 -0700] "GET /Bowie-Dentists/images/care1.jpg HTTP/1.1" 200 284811 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
195.154.169.85 - - [30/Oct/2015:20:10:42 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "superior-dentistry.com"
195.154.169.85 - - [30/Oct/2015:20:10:44 -0700] "GET /%E2%80%9Dhttp://www.nicedentist.com HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "superior-dentistry.com"
180.76.15.155 - - [30/Oct/2015:20:33:14 -0700] "GET /Bowie-Dentists/Preventive-Dentistry-Maryland.html HTTP/1.1" 200 39411 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.superior-dentistry.com"
208.122.6.102 - - [30/Oct/2015:20:44:22 -0700] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
65.36.241.48 - - [30/Oct/2015:20:52:53 -0700] "HEAD / HTTP/1.1" 200 0 "-" "InternetSeer.com" "www.superior-dentistry.com"
66.249.69.93 - - [30/Oct/2015:20:53:55 -0700] "GET /index.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.superior-dentistry.com"
54.221.206.141 - - [30/Oct/2015:21:02:18 -0700] "HEAD / HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7.5) Gecko/20041107 Firefox/1.0" "superior-dentistry.com"
