136.243.5.215 - - [11/Jan/2016:16:00:06 -0800] "GET /Dental-LinkExchange.html HTTP/1.1" 200 25575 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "superior-dentistry.com"
40.118.8.155 - - [11/Jan/2016:16:21:42 -0800] "GET /Dentist-Bowie-MD/Dental-Implants-Maryland-MD HTTP/1.1" 200 33055 "-" "-" "www.superior-dentistry.com"
207.46.13.150 - - [11/Jan/2016:16:44:01 -0800] "GET /theme.css HTTP/1.1" 200 1926 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
180.76.15.142 - - [11/Jan/2016:17:01:44 -0800] "GET /js/ie-emulation-modes-warning.js HTTP/1.1" 200 2132 "http://superior-dentistry.com/" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "superior-dentistry.com"
180.76.15.144 - - [11/Jan/2016:17:01:49 -0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 35601 "http://superior-dentistry.com/" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "superior-dentistry.com"
208.122.6.102 - - [11/Jan/2016:17:15:16 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
66.249.69.77 - - [11/Jan/2016:17:25:58 -0800] "GET /img/periodontalsurgery.jpg HTTP/1.1" 200 56963 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.69.85 - - [11/Jan/2016:17:28:26 -0800] "GET /img/bridges-dentist-md.jpg HTTP/1.1" 200 67242 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
207.46.13.69 - - [11/Jan/2016:17:32:29 -0800] "GET /img/bridges-dentist-md.jpg HTTP/1.1" 304 - "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
66.249.69.174 - - [11/Jan/2016:17:36:45 -0800] "GET /Bowie-Dentists/images/care2.jpg HTTP/1.1" 200 401250 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
157.55.39.209 - - [11/Jan/2016:17:46:50 -0800] "GET /img/invisalign.jpg HTTP/1.1" 200 142640 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
54.196.187.201 - - [11/Jan/2016:17:58:22 -0800] "GET /Bowie-Dentists/Childrens-Dentistry-Maryland.html HTTP/1.1" 200 39945 "-" "User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31" "www.superior-dentistry.com"
66.249.69.162 - - [11/Jan/2016:18:15:18 -0800] "GET /Bowie-Dentists/images/care1.jpg HTTP/1.1" 200 284811 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
208.122.6.102 - - [11/Jan/2016:18:17:25 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
77.75.77.54 - - [11/Jan/2016:18:26:41 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://fulltext.sblog.cz/)" "www.superior-dentistry.com"
77.75.77.54 - - [11/Jan/2016:18:26:42 -0800] "GET /images/night-guard.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://fulltext.sblog.cz/)" "www.superior-dentistry.com"
174.137.129.109 - - [11/Jan/2016:18:33:36 -0800] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36" "superior-dentistry.com"
68.180.229.49 - - [11/Jan/2016:18:45:34 -0800] "GET /services.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)" "www.superior-dentistry.com"
77.75.76.167 - - [11/Jan/2016:18:45:40 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://fulltext.sblog.cz/)" "www.superior-dentistry.com"
77.75.76.167 - - [11/Jan/2016:18:45:41 -0800] "GET /images/SnapOnSmile.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://fulltext.sblog.cz/)" "www.superior-dentistry.com"
70.176.213.224 - - [11/Jan/2016:19:18:33 -0800] "GET /images/implant-before-and-after.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; CrOS i686 7520.67.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.110 Safari/537.36" "www.superior-dentistry.com"
70.176.213.224 - - [11/Jan/2016:19:18:36 -0800] "GET /images/implant-before-and-after.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; CrOS i686 7520.67.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.110 Safari/537.36" "www.superior-dentistry.com"
70.176.213.224 - - [11/Jan/2016:19:18:39 -0800] "GET /images/implant-before-and-after.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; CrOS i686 7520.67.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.110 Safari/537.36" "www.superior-dentistry.com"
70.176.213.224 - - [11/Jan/2016:19:18:41 -0800] "GET /images/implant-before-and-after.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; CrOS i686 7520.67.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.110 Safari/537.36" "www.superior-dentistry.com"
70.176.213.224 - - [11/Jan/2016:19:18:43 -0800] "GET /images/implant-before-and-after.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; CrOS i686 7520.67.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.110 Safari/537.36" "www.superior-dentistry.com"
208.122.6.102 - - [11/Jan/2016:19:18:43 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
70.176.213.224 - - [11/Jan/2016:19:18:45 -0800] "GET /images/implant-before-and-after.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; CrOS i686 7520.67.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.110 Safari/537.36" "www.superior-dentistry.com"
70.176.213.224 - - [11/Jan/2016:19:18:49 -0800] "GET /images/implant-before-and-after.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; CrOS i686 7520.67.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.110 Safari/537.36" "www.superior-dentistry.com"
70.176.213.224 - - [11/Jan/2016:19:18:54 -0800] "GET /images/implant-before-and-after.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; CrOS i686 7520.67.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.110 Safari/537.36" "www.superior-dentistry.com"
70.176.213.224 - - [11/Jan/2016:19:18:56 -0800] "GET /images/implant-before-and-after.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; CrOS i686 7520.67.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.110 Safari/537.36" "www.superior-dentistry.com"
70.176.213.224 - - [11/Jan/2016:19:19:01 -0800] "GET /images/implant-before-and-after.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; CrOS i686 7520.67.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.110 Safari/537.36" "www.superior-dentistry.com"
