178.137.89.157 - - [15/Jan/2016:16:38:13 -0800] "GET / HTTP/1.1" 200 38156 "http://auto.rusvile.lt/" "Opera/9.01 (Windows NT 5.1; U; en)" "www.superior-dentistry.com"
157.55.39.16 - - [15/Jan/2016:16:44:00 -0800] "GET /img/Teeth-Whitening1.jpg HTTP/1.1" 200 150063 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
208.122.6.102 - - [15/Jan/2016:17:32:13 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
180.76.15.150 - - [15/Jan/2016:18:04:12 -0800] "GET /Patient-Information-Form.pdf HTTP/1.1" 200 983040 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.superior-dentistry.com"
208.122.6.102 - - [15/Jan/2016:18:32:58 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
180.76.15.6 - - [15/Jan/2016:18:37:40 -0800] "GET /Dentist-Bowie-MD/css/menu.css HTTP/1.1" 200 1309 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.superior-dentistry.com"
76.29.93.226 - - [15/Jan/2016:18:51:42 -0800] "GET /images/implant-before-and-after.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53" "www.superior-dentistry.com"
173.67.42.118 - - [15/Jan/2016:19:20:01 -0800] "GET /Dentist-Bowie-MD/Periodontal-Services-Maryland-MD.html HTTP/1.1" 200 19779 "https://www.google.com/" "Mozilla/5.0 (Linux; Android 5.0; SAMSUNG SM-N900V 4G Build/LRX21V) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36" "www.superior-dentistry.com"
173.67.42.118 - - [15/Jan/2016:19:20:01 -0800] "GET /images/care4.jpg HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Periodontal-Services-Maryland-MD.html" "Mozilla/5.0 (Linux; Android 5.0; SAMSUNG SM-N900V 4G Build/LRX21V) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36" "www.superior-dentistry.com"
173.67.42.118 - - [15/Jan/2016:19:20:01 -0800] "GET /Dentist-Bowie-MD/js/jquery.easing.1.3.js HTTP/1.1" 200 3517 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Periodontal-Services-Maryland-MD.html" "Mozilla/5.0 (Linux; Android 5.0; SAMSUNG SM-N900V 4G Build/LRX21V) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36" "www.superior-dentistry.com"
173.67.42.118 - - [15/Jan/2016:19:20:01 -0800] "GET /Dentist-Bowie-MD/js/js-image-slider.js HTTP/1.1" 200 15260 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Periodontal-Services-Maryland-MD.html" "Mozilla/5.0 (Linux; Android 5.0; SAMSUNG SM-N900V 4G Build/LRX21V) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36" "www.superior-dentistry.com"
173.67.42.118 - - [15/Jan/2016:19:20:01 -0800] "GET /images/twitter.png HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Periodontal-Services-Maryland-MD.html" "Mozilla/5.0 (Linux; Android 5.0; SAMSUNG SM-N900V 4G Build/LRX21V) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36" "www.superior-dentistry.com"
