52.0.238.61 - - [11/Feb/2016:17:02:01 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; proximic; +http://www.proximic.com/info/spider.php)" "superior-dentistry.com"
66.102.8.224 - - [11/Feb/2016:17:08:19 -0800] "GET /css/font-awesome.css HTTP/1.1" 200 28747 "http://superior-dentistry.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko; Google Page Speed Insights) Chrome/27.0.1453 Safari/537.36" "superior-dentistry.com"
66.102.8.224 - - [11/Feb/2016:17:08:20 -0800] "GET /img/slider1.jpg HTTP/1.1" 200 268888 "http://superior-dentistry.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko; Google Page Speed Insights) Chrome/27.0.1453 Safari/537.36" "superior-dentistry.com"
208.122.6.102 - - [11/Feb/2016:17:36:46 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
119.96.187.63 - - [11/Feb/2016:18:27:21 -0800] "GET /blog.php HTTP/1.1" 200 99736 "-" "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko" "www.superior-dentistry.com"
119.96.187.63 - - [11/Feb/2016:18:27:25 -0800] "POST /blog.php/trackback/ HTTP/1.1" 200 99355 "http://www.superior-dentistry.com/blog.php" "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko" "www.superior-dentistry.com"
98.211.119.161 - - [11/Feb/2016:18:33:35 -0800] "GET /img/oral-pathology.jpg HTTP/1.1" 200 33395 "https://www.google.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.103 Safari/537.36" "www.superior-dentistry.com"
173.79.197.111 - - [11/Feb/2016:19:08:53 -0800] "GET /index.html HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/601.4.4 (KHTML, like Gecko)" "www.superior-dentistry.com"
173.79.197.111 - - [11/Feb/2016:19:08:53 -0800] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 89 "-" "Safari/11601.4.4 CFNetwork/760.2.6 Darwin/15.3.0 (x86_64)" "www.superior-dentistry.com"
173.79.197.111 - - [11/Feb/2016:19:08:54 -0800] "GET /apple-touch-icon.png HTTP/1.1" 404 89 "-" "Safari/11601.4.4 CFNetwork/760.2.6 Darwin/15.3.0 (x86_64)" "www.superior-dentistry.com"
173.79.197.111 - - [11/Feb/2016:19:08:54 -0800] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 89 "-" "Safari/11601.4.4 CFNetwork/760.2.6 Darwin/15.3.0 (x86_64)" "www.superior-dentistry.com"
