54.234.69.54 - - [02/Mar/2016:16:07:11 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Python-urllib/1.17" "superior-dentistry.com"
208.122.6.102 - - [02/Mar/2016:17:05:27 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
71.246.192.109 - - [02/Mar/2016:17:21:54 -0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 35601 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko" "www.superior-dentistry.com"
71.246.192.109 - - [02/Mar/2016:17:21:54 -0800] "GET /js/docs.min.js HTTP/1.1" 200 43299 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko" "www.superior-dentistry.com"
71.246.192.109 - - [02/Mar/2016:17:21:54 -0800] "GET /img/slider1.jpg HTTP/1.1" 200 268888 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko" "www.superior-dentistry.com"
71.246.192.109 - - [02/Mar/2016:17:21:54 -0800] "GET /img/meetdr-ali.jpg HTTP/1.1" 200 60533 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko" "www.superior-dentistry.com"
71.246.192.109 - - [02/Mar/2016:17:21:54 -0800] "GET /img/offer-31-05-2014-sonicare-brush.jpg HTTP/1.1" 200 13165 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko" "www.superior-dentistry.com"
71.246.192.109 - - [02/Mar/2016:17:21:54 -0800] "GET /img/meetdr-melika.jpg HTTP/1.1" 200 75968 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko" "www.superior-dentistry.com"
71.246.192.109 - - [02/Mar/2016:17:21:54 -0800] "GET /img/slider3.jpg HTTP/1.1" 200 217901 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko" "www.superior-dentistry.com"
71.246.192.109 - - [02/Mar/2016:17:21:54 -0800] "GET /img/slider2.jpg HTTP/1.1" 200 345766 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko" "www.superior-dentistry.com"
71.246.192.109 - - [02/Mar/2016:17:21:54 -0800] "GET /img/offer-31-05-2014-new-patient.jpg HTTP/1.1" 200 15365 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko" "www.superior-dentistry.com"
52.3.146.92 - - [02/Mar/2016:18:07:52 -0800] "GET / HTTP/1.1" 200 38156 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [02/Mar/2016:18:07:54 -0800] "GET /meet-staff.html HTTP/1.1" 200 22166 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [02/Mar/2016:18:07:56 -0800] "GET /services.html HTTP/1.1" 200 34114 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
