207.46.13.41 - - [20/Apr/2016:17:07:59 -0700] "GET /Dentist-Bowie-MD/css/ HTTP/1.1" 200 1872 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:54 -0700] "GET /Dental-LinkExchange.html HTTP/1.1" 200 24659 "-" "Ruby" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:54 -0700] "GET /firstvisit.html HTTP/1.1" 200 24044 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:54 -0700] "GET /index.html HTTP/1.1" 200 38166 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:54 -0700] "GET /meet-staff.html HTTP/1.1" 200 22168 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:54 -0700] "GET /extractions.html HTTP/1.1" 404 89 "-" "EventMachine HttpClient" "www.superior-dentistry.com"[0]
54.144.97.150 - - [20/Apr/2016:17:48:54 -0700] "GET /services.html HTTP/1.1" 200 34139 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:54 -0700] "GET /wisdom-teeth.html HTTP/1.1" 404 89 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:54 -0700] "GET /dental-implants.html HTTP/1.1" 404 89 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:54 -0700] "GET /contact-us.html HTTP/1.1" 200 23728 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:54 -0700] "GET /Patient-Before-After-Gallery.html HTTP/1.1" 200 23787 "-" "EventMachine HttpClient" "www.superior-dentistry.com"[0]
54.144.97.150 - - [20/Apr/2016:17:48:54 -0700] "GET /oral-pathology.html HTTP/1.1" 404 89 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:54 -0700] "GET /tmj-disorder.html HTTP/1.1" 404 89 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:54 -0700] "GET / HTTP/1.1" 200 38166 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:54 -0700] "GET / HTTP/1.1" 200 38166 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:54 -0700] "GET /orthognathic-jaw-surgery.html HTTP/1.1" 404 89 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:54 -0700] "GET /Dental-Links.html HTTP/1.1" 200 27799 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:55 -0700] "GET /blog.php HTTP/1.1" 200 103129 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:55 -0700] "GET /orthognathic-jaw-surgery.html HTTP/1.1" 404 89 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:55 -0700] "GET /Dentistry-Maryland-MD.html HTTP/1.1" 200 30875 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:55 -0700] "GET /testimonial.html HTTP/1.1" 404 89 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:55 -0700] "GET /Dentist-Bowie-MD/Periodontal-Services-Maryland-MD.html HTTP/1.1" 200 25411 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:55 -0700] "GET /Dental-Sites-We-Like.html HTTP/1.1" 200 41846 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.144.97.150 - - [20/Apr/2016:17:48:55 -0700] "GET /Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html HTTP/1.1" 200 31634 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
