157.55.39.184 - - [14/Jul/2016:18:18:53 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "superior-dentistry.com"
151.80.31.162 - - [14/Jul/2016:19:31:06 -0700] "GET /index.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.1; +http://ahrefs.com/robot/)" "www.superior-dentistry.com"
52.24.136.23 - - [14/Jul/2016:19:43:24 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; DomainAppender /1.0; +http://www.profound.net/domainappender)" "superior-dentistry.com"
180.76.15.13 - - [14/Jul/2016:20:18:10 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2" "www.superior-dentistry.com"
207.46.13.144 - - [14/Jul/2016:20:34:55 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
198.16.7.150 - - [14/Jul/2016:21:02:28 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
82.145.209.220 - - [14/Jul/2016:22:04:20 -0700] "GET /img/white_composite_filling.jpg HTTP/1.1" 200 105229 "-" "Opera/9.80 (SpreadTrum; Opera Mini/4.4.30690/37.8743; U; en) Presto/2.12.423 Version/12.16" "www.superior-dentistry.com"
104.154.123.179 - - [14/Jul/2016:23:01:04 -0700] "GET /Patient-Information-Form.pdf HTTP/1.1" 200 1498629 "-" "Go-http-client/1.1" "www.superior-dentistry.com"
198.16.7.150 - - [14/Jul/2016:23:04:30 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
94.23.27.166 - - [14/Jul/2016:23:56:05 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/10.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.superior-dentistry.com"
94.23.27.166 - - [14/Jul/2016:23:56:10 -0700] "GET /meet-staff.html HTTP/1.1" 200 22168 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/10.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.superior-dentistry.com"
94.23.27.166 - - [14/Jul/2016:23:56:14 -0700] "GET /firstvisit.html HTTP/1.1" 200 24044 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/10.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.superior-dentistry.com"
94.23.27.166 - - [14/Jul/2016:23:56:29 -0700] "GET /testimonial.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/10.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.superior-dentistry.com"
94.23.27.166 - - [14/Jul/2016:23:56:29 -0700] "GET /Dentist-Bowie-MD/Dental-Implants-Maryland-MD.html HTTP/1.1" 200 32074 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/10.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.superior-dentistry.com"
94.23.27.166 - - [14/Jul/2016:23:56:31 -0700] "GET /Dental-Sites-We-Like.html HTTP/1.1" 200 41846 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/10.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.superior-dentistry.com"
94.23.27.166 - - [14/Jul/2016:23:56:42 -0700] "GET /Dental-Links.html HTTP/1.1" 200 27799 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/10.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.superior-dentistry.com"
94.23.27.166 - - [14/Jul/2016:23:56:49 -0700] "GET /Bowie-Dentists/Periodontal-Therapy-Maryland.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/10.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.superior-dentistry.com"
94.23.27.166 - - [14/Jul/2016:23:56:50 -0700] "GET /Dentist-Bowie-MD/meet-staff.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/10.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.superior-dentistry.com"
94.23.27.166 - - [14/Jul/2016:23:56:51 -0700] "GET /Dentist-Bowie-MD/blog.php HTTP/1.1" 200 416 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/10.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.superior-dentistry.com"
94.23.27.166 - - [14/Jul/2016:23:56:51 -0700] "GET /Dentist-Bowie-MD/contact-us.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/10.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.superior-dentistry.com"
94.23.27.166 - - [14/Jul/2016:23:56:51 -0700] "GET /Dentist-Bowie-MD/oral-pathology.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/10.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.superior-dentistry.com"
94.23.27.166 - - [14/Jul/2016:23:56:52 -0700] "GET /Bowie-Dentists/patient.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/10.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.superior-dentistry.com"
94.23.27.166 - - [14/Jul/2016:23:56:52 -0700] "GET /Bowie-Dentists/services.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/10.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.superior-dentistry.com"
94.23.27.166 - - [14/Jul/2016:23:56:52 -0700] "GET /Bowie-Dentists/aboutus.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/10.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.superior-dentistry.com"
94.23.27.166 - - [14/Jul/2016:23:56:53 -0700] "GET /Bowie-Dentists/meet-staff.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/10.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.superior-dentistry.com"
94.23.27.166 - - [14/Jul/2016:23:56:53 -0700] "GET /Bowie-Dentists/firstvisit.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/10.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.superior-dentistry.com"
94.23.27.166 - - [14/Jul/2016:23:56:53 -0700] "GET /Bowie-Dentists/Patient-Before-After-Gallery.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/10.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.superior-dentistry.com"
94.23.27.166 - - [14/Jul/2016:23:56:53 -0700] "GET /Bowie-Dentists/blog.php HTTP/1.1" 200 416 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/10.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30" "www.superior-dentistry.com"
