54.210.124.32 - - [10/Oct/2016:17:02:14 -0700] "GET / HTTP/1.1" 200 38900 "-" "CheckMarkNetwork/1.0 (+http://www.checkmarknetwork.com/spider.html)" "superior-dentistry.com"
54.210.124.32 - - [10/Oct/2016:17:02:16 -0700] "GET /theme.css HTTP/1.1" 200 1926 "-" "roboto" "superior-dentistry.com"
108.48.89.178 - - [10/Oct/2016:17:21:59 -0700] "GET /meet-staff.html HTTP/1.1" 200 22168 "-" "Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0" "www.superior-dentistry.com"
108.48.89.178 - - [10/Oct/2016:17:21:59 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 138415 "http://www.superior-dentistry.com/meet-staff.html" "Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0" "www.superior-dentistry.com"
108.48.89.178 - - [10/Oct/2016:17:21:59 -0700] "GET /js/ie10-viewport-bug-workaround.js HTTP/1.1" 200 694 "http://www.superior-dentistry.com/meet-staff.html" "Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0" "www.superior-dentistry.com"
108.48.89.178 - - [10/Oct/2016:17:21:59 -0700] "GET /favicon.ico HTTP/1.1" 200 688 "-" "Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0" "www.superior-dentistry.com"
108.48.89.178 - - [10/Oct/2016:17:21:59 -0700] "GET /js/docs.min.js HTTP/1.1" 200 43299 "http://www.superior-dentistry.com/meet-staff.html" "Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0" "www.superior-dentistry.com"
108.48.89.178 - - [10/Oct/2016:17:22:00 -0700] "GET /img/Dr-Ali-shatergholi.jpg HTTP/1.1" 200 17298 "http://www.superior-dentistry.com/meet-staff.html" "Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0" "www.superior-dentistry.com"
108.48.89.178 - - [10/Oct/2016:17:22:00 -0700] "GET /img/doctor-achievement.jpg HTTP/1.1" 200 200838 "http://www.superior-dentistry.com/meet-staff.html" "Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0" "www.superior-dentistry.com"
108.48.89.178 - - [10/Oct/2016:17:22:05 -0700] "GET /assets/flash/ZeroClipboard.swf?noCache=1476145326111 HTTP/1.1" 404 89 "http://www.superior-dentistry.com/meet-staff.html" "Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0" "www.superior-dentistry.com"
199.16.156.124 - - [10/Oct/2016:17:22:11 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"[0]
199.16.156.124 - - [10/Oct/2016:17:22:11 -0700] "GET /images/endodontia-root-canal-treatment.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
108.48.89.178 - - [10/Oct/2016:17:22:45 -0700] "GET /Patient-Before-After-Gallery.html HTTP/1.1" 200 23825 "http://www.superior-dentistry.com/meet-staff.html" "Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0" "www.superior-dentistry.com"
108.48.89.178 - - [10/Oct/2016:17:22:46 -0700] "GET /img/offer-31-05-2014-new-patient.jpg HTTP/1.1" 200 15365 "http://www.superior-dentistry.com/Patient-Before-After-Gallery.html" "Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0" "www.superior-dentistry.com"
108.48.89.178 - - [10/Oct/2016:17:23:32 -0700] "GET /firstvisit.html HTTP/1.1" 200 24044 "http://www.superior-dentistry.com/Patient-Before-After-Gallery.html" "Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0" "www.superior-dentistry.com"[0]
108.48.89.178 - - [10/Oct/2016:17:23:32 -0700] "GET /img/office-slider1.jpg HTTP/1.1" 200 134555 "http://www.superior-dentistry.com/firstvisit.html" "Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0" "www.superior-dentistry.com"
108.48.89.178 - - [10/Oct/2016:17:23:32 -0700] "GET /img/office-slider2.jpg HTTP/1.1" 200 148450 "http://www.superior-dentistry.com/firstvisit.html" "Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0" "www.superior-dentistry.com"
108.48.89.178 - - [10/Oct/2016:17:23:32 -0700] "GET /img/office-slider3.jpg HTTP/1.1" 200 116344 "http://www.superior-dentistry.com/firstvisit.html" "Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0" "www.superior-dentistry.com"
108.48.89.178 - - [10/Oct/2016:17:23:32 -0700] "GET /img/office-slider4.jpg HTTP/1.1" 200 85815 "http://www.superior-dentistry.com/firstvisit.html" "Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0" "www.superior-dentistry.com"
108.48.89.178 - - [10/Oct/2016:17:23:37 -0700] "GET /assets/flash/ZeroClipboard.swf?noCache=1476145417516 HTTP/1.1" 404 89 "http://www.superior-dentistry.com/firstvisit.html" "Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0" "www.superior-dentistry.com"
108.48.89.178 - - [10/Oct/2016:17:24:16 -0700] "GET /images/Pattern.jpg HTTP/1.1" 404 89 "http://www.superior-dentistry.com/blog.php" "Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0" "www.superior-dentistry.com"[0]
108.48.89.178 - - [10/Oct/2016:17:25:33 -0700] "GET /assets/flash/ZeroClipboard.swf?noCache=1476145533678 HTTP/1.1" 404 89 "http://www.superior-dentistry.com/firstvisit.html" "Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0" "www.superior-dentistry.com"
