185.129.148.216 - - [23/Oct/2016:17:21:09 -0700] "POST /administrator/administrator.php HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; rv:34.0) Gecko/20100101 Firefox/34.0" "superior-dentistry.com"
207.46.13.41 - - [23/Oct/2016:17:25:48 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
140.207.198.120 - - [23/Oct/2016:17:36:20 -0700] "GET / HTTP/1.1" 200 38900 "http://superior-dentistry.com/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "superior-dentistry.com"
46.229.164.100 - - [23/Oct/2016:17:42:43 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; SemrushBot/1.1~bl; +http://www.semrush.com/bot.html)" "www.superior-dentistry.com"
207.46.13.41 - - [23/Oct/2016:17:51:04 -0700] "GET /Dentist-Bowie-MD/contact-us.html HTTP/1.1" 404 89 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "www.superior-dentistry.com"
198.16.7.150 - - [23/Oct/2016:18:15:28 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
65.36.241.48 - - [23/Oct/2016:18:27:53 -0700] "HEAD / HTTP/1.1" 200 0 "-" "InternetSeer.com" "www.superior-dentistry.com"
88.198.22.8 - - [23/Oct/2016:18:32:21 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0; InfoPath.3; .NET4.0C; .NET4.0E)" "www.superior-dentistry.com"
180.76.15.150 - - [23/Oct/2016:18:48:37 -0700] "GET /Dentist-Bowie-MD/Patient-Before-After-Gallery.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.superior-dentistry.com"
104.131.67.111 - - [23/Oct/2016:19:02:29 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )" "superior-dentistry.com"
104.131.67.111 - - [23/Oct/2016:19:02:34 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
104.131.67.111 - - [23/Oct/2016:19:02:36 -0700] "GET /blog.php HTTP/1.1" 200 107037 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
104.131.67.111 - - [23/Oct/2016:19:02:40 -0700] "GET /index.html HTTP/1.1" 200 38900 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
104.131.67.111 - - [23/Oct/2016:19:02:44 -0700] "GET /services.php HTTP/1.1" 200 73 "http://www.superior-dentistry.com/blog.php" "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
104.131.67.111 - - [23/Oct/2016:19:02:49 -0700] "GET /services.html HTTP/1.1" 200 34139 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
104.131.67.111 - - [23/Oct/2016:19:02:54 -0700] "GET /contact-us.php HTTP/1.1" 200 73 "http://www.superior-dentistry.com/blog.php" "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
104.131.67.111 - - [23/Oct/2016:19:02:59 -0700] "GET /meet-staff.php HTTP/1.1" 200 73 "http://www.superior-dentistry.com/blog.php" "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
104.131.67.111 - - [23/Oct/2016:19:03:04 -0700] "GET /contact-us.html HTTP/1.1" 200 23728 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
104.131.67.111 - - [23/Oct/2016:19:03:10 -0700] "GET /meet-staff.html HTTP/1.1" 200 22168 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
104.131.67.111 - - [23/Oct/2016:19:03:15 -0700] "GET /firstvisit.html HTTP/1.1" 200 24044 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
