100.43.85.13 - - [18/Nov/2016:17:01:53 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.superior-dentistry.com"
77.88.47.30 - - [18/Nov/2016:17:01:59 -0800] "GET /Patient-Information-Form.pdf HTTP/1.1" 200 1498629 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.superior-dentistry.com"
180.76.15.147 - - [18/Nov/2016:17:04:17 -0800] "GET /Dentistry-Maryland-MD.html HTTP/1.1" 200 30875 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "superior-dentistry.com"
198.16.7.150 - - [18/Nov/2016:17:07:22 -0800] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
23.81.233.65 - - [18/Nov/2016:17:35:34 -0800] "GET /contact-us.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1707.59 Safari/537.36" "www.superior-dentistry.com"
52.53.157.128 - - [18/Nov/2016:17:49:44 -0800] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36" "superior-dentistry.com"
52.53.157.128 - - [18/Nov/2016:17:49:44 -0800] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36" "superior-dentistry.com"
52.53.157.128 - - [18/Nov/2016:17:49:44 -0800] "GET /index.html HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36" "superior-dentistry.com"[0]
52.53.157.128 - - [18/Nov/2016:17:49:44 -0800] "GET /meet-staff.html HTTP/1.1" 200 22168 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36" "superior-dentistry.com"
52.53.157.128 - - [18/Nov/2016:17:49:45 -0800] "GET /services.html HTTP/1.1" 200 34139 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36" "superior-dentistry.com"
52.53.157.128 - - [18/Nov/2016:17:49:45 -0800] "GET /firstvisit.html HTTP/1.1" 200 24044 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36" "superior-dentistry.com"
52.53.157.128 - - [18/Nov/2016:17:49:46 -0800] "GET /contact-us.html HTTP/1.1" 200 23728 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36" "superior-dentistry.com"
52.53.157.128 - - [18/Nov/2016:17:49:47 -0800] "GET /contact-us.html HTTP/1.1" 200 23728 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36" "www.superior-dentistry.com"
198.16.7.150 - - [18/Nov/2016:18:08:03 -0800] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
54.236.1.11 - - [18/Nov/2016:18:10:38 -0800] "GET /favicon.ico HTTP/1.1" 200 688 "-" "Pinterest/0.2 (+http://www.pinterest.com/)" "www.superior-dentistry.com"
54.236.1.13 - - [18/Nov/2016:18:10:38 -0800] "GET /apple-touch-icon.png HTTP/1.1" 404 89 "-" "Pinterest/0.2 (+http://www.pinterest.com/)" "www.superior-dentistry.com"
66.249.66.130 - - [18/Nov/2016:18:49:27 -0800] "GET /img/mainimg8.jpg HTTP/1.1" 200 246879 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
123.30.175.141 - - [18/Nov/2016:19:13:08 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; coccocbot-image/1.0; +http://help.coccoc.com/searchengine)" "www.superior-dentistry.com"
123.30.175.141 - - [18/Nov/2016:19:13:16 -0800] "GET /img/slider1.jpg HTTP/1.1" 200 268888 "-" "Mozilla/5.0 (compatible; coccocbot-image/1.0; +http://help.coccoc.com/searchengine)" "www.superior-dentistry.com"[0]
