220.181.108.163 - - [27/Nov/2016:16:48:34 -0800] "GET /Dental-Links.html HTTP/1.1" 200 27799 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.superior-dentistry.com"
198.16.7.150 - - [27/Nov/2016:17:00:33 -0800] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
46.229.164.102 - - [27/Nov/2016:17:01:23 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; SemrushBot/1.1~bl; +http://www.semrush.com/bot.html)" "superior-dentistry.com"
208.43.225.84 - - [27/Nov/2016:17:52:43 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; SiteExplorer/1.1b; +http://siteexplorer.info/Backlink-Checker-Spider/)" "www.superior-dentistry.com"
208.43.225.84 - - [27/Nov/2016:17:52:46 -0800] "GET /testimonials.html HTTP/1.1" 200 24785 "-" "Mozilla/5.0 (compatible; SiteExplorer/1.1b; +http://siteexplorer.info/Backlink-Checker-Spider/)" "www.superior-dentistry.com"
208.43.225.84 - - [27/Nov/2016:17:52:49 -0800] "GET /services.html HTTP/1.1" 200 34139 "-" "Mozilla/5.0 (compatible; SiteExplorer/1.1b; +http://siteexplorer.info/Backlink-Checker-Spider/)" "www.superior-dentistry.com"
208.43.225.84 - - [27/Nov/2016:17:52:52 -0800] "GET /meet-staff.html HTTP/1.1" 200 22168 "-" "Mozilla/5.0 (compatible; SiteExplorer/1.1b; +http://siteexplorer.info/Backlink-Checker-Spider/)" "www.superior-dentistry.com"
208.43.225.84 - - [27/Nov/2016:17:52:56 -0800] "GET /index.html HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (compatible; SiteExplorer/1.1b; +http://siteexplorer.info/Backlink-Checker-Spider/)" "www.superior-dentistry.com"
208.43.225.84 - - [27/Nov/2016:17:53:05 -0800] "GET /contact-us.html HTTP/1.1" 200 23728 "-" "Mozilla/5.0 (compatible; SiteExplorer/1.1b; +http://siteexplorer.info/Backlink-Checker-Spider/)" "www.superior-dentistry.com"
208.43.225.84 - - [27/Nov/2016:17:53:10 -0800] "GET /blog.php HTTP/1.1" 200 107037 "-" "Mozilla/5.0 (compatible; SiteExplorer/1.1b; +http://siteexplorer.info/Backlink-Checker-Spider/)" "www.superior-dentistry.com"
208.43.225.84 - - [27/Nov/2016:17:53:16 -0800] "GET /Patient-Before-After-Gallery.html HTTP/1.1" 200 23825 "-" "Mozilla/5.0 (compatible; SiteExplorer/1.1b; +http://siteexplorer.info/Backlink-Checker-Spider/)" "www.superior-dentistry.com"
208.43.225.84 - - [27/Nov/2016:17:53:20 -0800] "GET /Dentists-Bowie-MD.html HTTP/1.1" 200 27344 "-" "Mozilla/5.0 (compatible; SiteExplorer/1.1b; +http://siteexplorer.info/Backlink-Checker-Spider/)" "www.superior-dentistry.com"
208.43.225.84 - - [27/Nov/2016:17:53:24 -0800] "GET /Dentistry-Maryland-MD.html HTTP/1.1" 200 30875 "-" "Mozilla/5.0 (compatible; SiteExplorer/1.1b; +http://siteexplorer.info/Backlink-Checker-Spider/)" "www.superior-dentistry.com"
208.43.225.84 - - [27/Nov/2016:17:53:27 -0800] "GET /Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html HTTP/1.1" 200 31634 "-" "Mozilla/5.0 (compatible; SiteExplorer/1.1b; +http://siteexplorer.info/Backlink-Checker-Spider/)" "www.superior-dentistry.com"
208.43.225.84 - - [27/Nov/2016:17:53:47 -0800] "GET /Dental-LinkExchange.html HTTP/1.1" 200 24959 "-" "Mozilla/5.0 (compatible; SiteExplorer/1.1b; +http://siteexplorer.info/Backlink-Checker-Spider/)" "www.superior-dentistry.com"
208.43.225.84 - - [27/Nov/2016:17:53:52 -0800] "GET /Bowie-Dentists/Preventive-Dentistry-Maryland.html HTTP/1.1" 200 39411 "-" "Mozilla/5.0 (compatible; SiteExplorer/1.1b; +http://siteexplorer.info/Backlink-Checker-Spider/)" "www.superior-dentistry.com"
208.43.225.84 - - [27/Nov/2016:17:53:56 -0800] "GET /Bowie-Dentists/Periodontal-Therapy-Maryland.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; SiteExplorer/1.1b; +http://siteexplorer.info/Backlink-Checker-Spider/)" "www.superior-dentistry.com"
208.43.225.84 - - [27/Nov/2016:17:53:59 -0800] "GET /Bowie-Dentists/Childrens-Dentistry-Maryland.html HTTP/1.1" 200 28854 "-" "Mozilla/5.0 (compatible; SiteExplorer/1.1b; +http://siteexplorer.info/Backlink-Checker-Spider/)" "www.superior-dentistry.com"
208.43.225.84 - - [27/Nov/2016:17:54:03 -0800] "GET /index.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (compatible; SiteExplorer/1.1b; +http://siteexplorer.info/Backlink-Checker-Spider/)" "www.superior-dentistry.com"
208.43.225.84 - - [27/Nov/2016:17:54:07 -0800] "GET /contact-us.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (compatible; SiteExplorer/1.1b; +http://siteexplorer.info/Backlink-Checker-Spider/)" "www.superior-dentistry.com"
198.16.7.150 - - [27/Nov/2016:18:01:21 -0800] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
54.236.1.11 - - [27/Nov/2016:18:11:31 -0800] "GET /favicon.ico HTTP/1.1" 200 688 "-" "Pinterest/0.2 (+http://www.pinterest.com/)" "www.superior-dentistry.com"
54.236.1.11 - - [27/Nov/2016:18:11:32 -0800] "GET /apple-touch-icon.png HTTP/1.1" 404 89 "-" "Pinterest/0.2 (+http://www.pinterest.com/)" "www.superior-dentistry.com"
157.55.39.188 - - [27/Nov/2016:18:28:19 -0800] "GET /Dentist-Bowie-MD/blog.php HTTP/1.1" 200 416 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
198.16.7.150 - - [27/Nov/2016:19:02:03 -0800] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
66.220.156.117 - - [27/Nov/2016:19:16:10 -0800] "GET /img/slider2.jpg HTTP/1.1" 200 345766 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "www.superior-dentistry.com"
178.162.205.21 - - [27/Nov/2016:19:34:52 -0800] "GET /index.php/admin/ HTTP/1.1" 200 73 "http://SUPERIOR-DENTISTRY.COM/index.php/admin/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36" "superior-dentistry.com"
